Career,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,skill16,skill17,skill18,skill19,skill20,skill21,skill22,skill23,skill24,skill25,skill26,skill27,skill28,skill29,skill30,skill31,skill32,skill33,skill34,skill35,skill36,skill37
Web Developer,Web Development, Database Development, Problem-solving, Communication, Leadership, teamwork, adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cloud Technology, Workshop on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Engineering, Data Science, Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Software Quality Testing, Copy Writing, Mobile Phone Specification Update, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Project Management, Adaptability, Research on Cyber Security, Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Graphic Design, Website Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System Design, Web Development, Web based project developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Cybersecurity, Database Development, Network Security, Problem Solving and Analysis, Artificial Intelligence (AI) and Machine Learning, Project Management, Research on Cyber Security, Research on Artificial Intelligence and Machine learning, Operating Systems and Networking, Big Data Technologies, System Programming, Software Quality Assurance, Api testing,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Data Engineering, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Database Development, Communication, Data Engineering, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Web Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Robotics Knowledge, Data Structure, Cloud Computing, Project Management, Critical Thinking, Interpersonal Skills, Adaptability, Image Processing, Internet of Things, Coding Bootcamps and Workshops, Working with IoT,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Engineering, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analytics, Data Visualization, Communication, Critical Thinking, Interpersonal Skills, Statistical Analysis Software, Data Analysis & Visualization, Big Data Technologies, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Blockchain, API Testing, API Knowledge, Web based project develop, Android App Develop, Software Testing RelatedWork, Research on Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Cybersecurity, Cryptograph, Network Security, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Statistical Analysis, Operating Systems and Networking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Critical Thinking, Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, data engineering, System Design, Cloud Computing, Software Quality Assurance, Api testing,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Big Data Technologies, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System Design, Game Development, Webbased project develop, Language Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Big Data Technologies, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Big Data Technologies, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Blockchain, Digital Performance Testing, Machine Learning, Natural Language Processing, Cybersecurity, Cryptograph, Database Development, Problem Solving and Analysis, Operting Systems, Issues Analysis and Intellectual Property Creation, Data Engineering., Big Data Technologies, Report Writing, Database Development, Data Analysis and Visualization, System Design, Software Quality Assurance, Api tester, Project Management,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Cloud Computing, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Statistical Analysis, Data Analytics, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Software Quality Assurance, Api testing,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, Video Editing and Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Feature Engineering, Statistical Analysis, Data Analysis and Visualization, Critical Thinking, Artistic Expression, Problem Solvings, Data Testing, Data Early Warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Project Management, Adaptability, Research on Cyber Security, Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Web based project develop, Android App Develop, Research on Cyber Security, Working with Robotics,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development, Android App Develop, Research on Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Deep Learning, Defense, Government deputation attendence system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Network Security, ProblemSolving and Analysis, Project Management, Communication, Critical Thinking, Interpersonal Skills, web development,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security, Network Topologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web basedproject develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Data Analysis and Visualization, Big Data Technologies, Data Engineer, Statistical Analysis, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Data Analysis and Visualization, Project Management, Cloud Computing, Network Topologies,Network Security, Critical Thinking,Interpersonal Skills,Advanced Computer Technology,Api Testing,Quantitative Analysis,System Design,Cloud Computing,Computer Network,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Cryptograph, Computer Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking, Detection, Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Feature Engineering, System Design, Considered Adaptively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Critical Thinking, Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile Application Development, Artificial Intelligence (AI), Database Development, Problem Solving and Analysis, Specialized in Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI), Cyclone District, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Robotics Knowhow, Internet of Things, Artificial Intelligence (AI) and Machine Learning, Data Eng, Graphic Design, Search Engine Optimization (SEO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Feature Engineering, Big Data Technologies, Robotics Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Cryptograph, Database Development, Network Security, Problem Solving and Analysis, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, UI/UX Knowledge, Android App Develop, Software Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Data Engineering, Working with Technology and New Idea Generation, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Working with new idea,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving and Analysis, Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Feature Engineering, Big Data Technologies, Robotics Knowledge, Internet of Things, working with robots, working with IoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Dataset Generation, Strategy, Suggestions, Analytics, Business Relationship, Communication, Critical Thinking, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Software Testing Related Work, Working with new idea,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Knowledge, UI/UX Related Job, Graphic Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Data Analysis and Visualization, Project Management, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System design, Website build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Cryptograph, Problem Solving and Analysis, Software Quality Assurance, System Design, API Testing, Performance Testing, Internet of Things, Cloud Computing, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Data Science,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Phone Banking, Data Structures, CSS, JavaScript, Android App Develop, Coding Bootcamps and Workshops, Android Smartphone Built,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Cybersecurity, Cryptography, Network security, Network topologies, Operating systems and navigation, Cloud computing, Lifecycle of an object, Writing in English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development; Problemsolvinganddirectiveabilities, Ux & Psychology knowledge, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security, Artificial Intelligence and Technology, Duhamel System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Problem Solving and Analysis, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Mobile Application Development, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Web based project develop, Image Processing, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Web based project develop, Working with new idea,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Feature Engineering, Statistical Analysis, Robotics Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Computer Network, Artificial Intelligence and Machine learning, BlockChain, IOT technology, Network Topologies, Managed Council, Issuing Logo and Picture Control, Performancing Evaluation of Network, Working withnew ideas,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Feature Engineering, Statistical Analysis, Robotics Knowledge, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Database Development, API Testing, Performance Testing, Project Management, Web basedproject develop, Software test certification, Api testing & performance assessment, web based project test,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI), Database Development, Problem Solving and Analysis, Software Quality Testing, API Testing, UI/UX Knowledge, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Game Development, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Problem Solving and Analysis, Database Development, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Internet of Things, Critical Thinking, Blockchain, Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Network Topologies, Network Security, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, Video Editing & Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI), Deep Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Developer, Data Structure, Project Management, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning, Teaching Assistantships (TAs), Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Cloud Computing, Communication, Critical Thinking, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Problem Solving and Analysis, Data Structure, Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Blockchain technology, web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security, Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Data Engagement, Critical Thinking, Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Statistical Analytics, Data Structure, Collaboration, Critical Thinking, Feature Engineering, Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Cybersecurity, Cryptograph, Network Security, Problem Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System Design, Web Development, Mobile App Development, Game Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Critical Thinking, Database Development, Engineering Communication, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, UI/UX Knowledge, Android App Develop, Software Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
